No,pH,Rep,Sample_code,nm_520,nm_700,Date,Rx_min,Harvest,Year,Reps,Notes,Person
1,1,1,106-10,2.126,0.048,11/10/24,0,1,2023,0,,Drew
2,4.5,1,106-10,0.275,0.053,11/10/24,0,1,2023,0,,Drew
3,1,2,106-10,1.831,0.061,11/10/24,0,1,2023,0,,Drew
4,4.5,2,106-10,0.274,0.043,11/10/24,0,1,2023,0,,Drew
1,1,1,119-5,2.487,0.071,11/10/24,0,1,2023,0,,Drew
2,4.5,1,119-5,0.455,0.078,11/10/24,0,1,2023,0,,Drew
3,1,2,119-5,2.625,0.097,11/10/24,0,1,2023,0,,Drew
4,4.5,2,119-5,0.453,0.068,11/10/24,0,1,2023,0,,Drew
1,1,1,114-5,4.492,0.088,11/10/24,0,2,2023,0,,Drew
2,4.5,1,114-5,0.87,0.133,11/10/24,0,2,2023,0,,Drew
3,1,2,114-5,4.412,0.095,11/10/24,0,2,2023,0,,Drew
4,4.5,2,114-5,0.821,0.107,11/10/24,0,2,2023,0,,Drew
1,1,1,108-5,0.286,0.085,11/10/24,0,2,2023,0,,Drew
2,4.5,1,108-5,0.17,0.096,11/10/24,0,2,2023,0,,Drew
3,1,2,108-5,0.193,0.06,11/10/24,0,2,2023,0,,Drew
4,4.5,2,108-5,0.183,0.11,11/10/24,0,2,2023,0,,Drew
1,1,1,118-5,3.862,0.065,11/10/24,0,2,2023,0,,Drew
2,4.5,1,118-5,0.721,0.059,11/10/24,0,2,2023,0,,Drew
3,1,2,118-5,3.62,0.124,11/10/24,0,2,2023,0,,Drew
4,4.5,2,118-5,0.67,0.056,11/10/24,0,2,2023,0,,Drew
1,1,1,111-5,3.207,0.126,11/10/24,0,2,2023,0,Both tubes are 18 g,Drew
2,4.5,1,111-5,0.653,0.156,11/10/24,0,2,2023,0,,Drew
3,1,2,111-5,3.263,0.127,11/10/24,0,2,2023,0,,Drew
4,4.5,2,111-5,0.714,0.178,11/10/24,0,2,2023,0,,Drew
1,1,1,106-5,3.082,0.06,11/10/24,0,2,2023,0,,Drew
2,4.5,1,106-5,0.441,0.041,11/10/24,0,2,2023,0,,Drew
3,1,2,106-5,3.146,0.083,11/10/24,0,2,2023,0,,Drew
4,4.5,2,106-5,0.501,0.045,11/10/24,0,2,2023,0,,Drew
1,1,1,110-5,3.215,0.16,14/10/24,0,2,2023,0,Both tubes are 15 g,Drew
2,4.5,1,110-5,0.703,0.161,14/10/24,0,2,2023,0,,Drew
3,1,2,110-5,3.328,0.15,14/10/24,0,2,2023,0,,Drew
4,4.5,2,110-5,0.719,0.114,14/10/24,0,2,2023,0,,Drew
1,1,1,116-5,3.89,0.1,14/10/24,0,2,2023,0,,Drew
2,4.5,1,116-5,0.807,0.12,14/10/24,0,2,2023,0,,Drew
3,1,2,116-5,4.409,0.138,14/10/24,0,2,2023,0,,Drew
4,4.5,2,116-5,0.938,0.177,14/10/24,0,2,2023,0,,Drew
1,1,1,112-5,2.01,0.066,14/10/24,0,2,2023,0,,Drew
2,4.5,1,112-5,0.351,0.079,14/10/24,0,2,2023,0,,Drew
3,1,2,112-5,1.178,0.049,14/10/24,0,2,2023,0,,Drew
4,4.5,2,112-5,0.334,0.073,14/10/24,0,2,2023,0,,Drew
1,1,1,109-5,3.34,0.028,14/10/24,0,1,2023,0,,Drew
2,4.5,1,109-5,0.529,0.062,14/10/24,0,1,2023,0,,Drew
3,1,2,109-5,3.747,0.036,14/10/24,0,1,2023,0,,Drew
4,4.5,2,109-5,0.584,0.075,14/10/24,0,1,2023,0,,Drew
1,1,1,118-3,3.079,0.162,14/10/24,0,2,2023,0,Both tubes are 15 g,Drew
2,4.5,1,118-3,0.655,0.14,14/10/24,0,2,2023,0,,Drew
3,1,2,118-3,3.242,0.128,14/10/24,0,2,2023,0,,Drew
4,4.5,2,118-3,1.062,0.217,14/10/24,0,2,2023,0,,Drew
1,1,1,115-5,4.073,0.164,14/10/24,0,2,2023,0,,Drew
2,4.5,1,115-5,1.255,0.2,14/10/24,0,2,2023,0,,Drew
3,1,2,115-5,3.825,0.197,14/10/24,0,2,2023,0,,Drew
4,4.5,2,115-5,1.047,0.134,14/10/24,0,2,2023,0,,Drew
1,1,1,107-5,3.536,0.079,14/10/24,0,2,2023,0,,Drew
2,4.5,1,107-5,0.637,0.069,14/10/24,0,2,2023,0,,Drew
3,1,2,107-5,3.563,0.052,14/10/24,0,2,2023,0,,Drew
4,4.5,2,107-5,0.633,0.076,14/10/24,0,2,2023,0,,Drew
1,1,1,117-5,2.34,0.05,14/10/24,0,2,2023,0,,Drew
2,4.5,1,117-5,0.45,0.083,14/10/24,0,2,2023,0,,Drew
3,1,2,117-5,2.314,0.049,14/10/24,0,2,2023,0,,Drew
4,4.5,2,117-5,0.424,0.055,14/10/24,0,2,2023,0,,Drew
1,1,1,117-3,2.516,0.073,14/10/24,0,2,2023,0,,Drew
2,4.5,1,117-3,0.515,0.12,14/10/24,0,2,2023,0,,Drew
3,1,2,117-3,2.83,0.072,14/10/24,0,2,2023,0,,Drew
4,4.5,2,117-3,0.494,0.085,14/10/24,0,2,2023,0,,Drew
1,1,1,119-3,3.886,0.053,14/10/24,0,2,2023,0,,Drew
2,4.5,1,119-3,0.629,0.07,14/10/24,0,2,2023,0,,Drew
3,1,2,119-3,3.637,0.096,14/10/24,0,2,2023,0,,Drew
4,4.5,2,119-3,0.68,0.103,14/10/24,0,2,2023,0,,Drew
1,1,1,108-1,0.352,0.102,14/10/24,0,1,2023,0,,Drew
2,4.5,1,108-1,0.159,0.078,14/10/24,0,1,2023,0,,Drew
3,1,2,108-1,0.328,0.086,14/10/24,0,1,2023,0,,Drew
4,4.5,2,108-1,0.133,0.061,14/10/24,0,1,2023,0,,Drew
1,1,1,110-13,0.802,0.06,14/10/24,0,1,2023,0,,Drew
2,4.5,1,110-13,0.239,0.097,14/10/24,0,1,2023,0,,Drew
3,1,2,110-13,0.852,0.071,14/10/24,0,1,2023,0,,Drew
4,4.5,2,110-13,0.17,0.053,14/10/24,0,1,2023,0,,Drew
1,1,1,107-11,1.379,0.089,15/10/24,0,1,2023,0,,Drew
2,4.5,1,107-11,0.305,0.099,15/10/24,0,1,2023,0,,Drew
3,1,2,107-11,1.353,0.093,15/10/24,0,1,2023,0,,Drew
4,4.5,2,107-11,0.314,0.105,15/10/24,0,1,2023,0,,Drew
1,1,1,109-13,0.719,0.073,15/10/24,0,1,2023,0,,Drew
2,4.5,1,109-13,0.226,0.09,15/10/24,0,1,2023,0,,Drew
3,1,2,109-13,0.825,0.089,15/10/24,0,1,2023,0,,Drew
4,4.5,2,109-13,0.291,0.115,15/10/24,0,1,2023,0,,Drew
1,1,1,107-13,0.163,0.102,15/10/24,0,1,2023,0,Both tubes are 13 g,Drew
2,4.5,1,107-13,0.145,0.086,15/10/24,0,1,2023,0,,Drew
3,1,2,107-13,0.17,0.1,15/10/24,0,1,2023,0,,Drew
4,4.5,2,107-13,0.134,0.078,15/10/24,0,1,2023,0,,Drew
1,1,1,109-1,1.473,0.074,15/10/24,0,1,2023,0,,Drew
2,4.5,1,109-1,0.288,0.069,15/10/24,0,1,2023,0,,Drew
3,1,2,109-1,1.28,0.075,15/10/24,0,1,2023,0,,Drew
